hash	namespace	symbol	candidates
00c447d9abaca533c056b8667d90e323bde27596	Yalla.Application.Services	MedicineService	Application/Services/MedicineService.cs
020c11e14ac9c064fa160c43055ed2ea6086dc26	Yalla.Domain.Entities	Order	Domain/Entities/Order.cs
0ec0ec52bd2fe6eeac732e85d550684f0422480c	Yalla.Infrastructure.Configurations	OrderConfiguration	Infrastructure/Configurations/OrderConfiguration.cs
0f620d786e70ea10312606dc5b23790fad74b678	Yalla.Application.DTO.Response	WorkerMedicineResponse	Application/DTO/Response/WorkerMedicineResponse.cs
2281100e7ebbd8fb20aea1046f490642026b9e53	Yalla.Application.UnitTests.Extensions	RequestMappingExtensionsTests	tests/Yalla.Application.UnitTests/Extensions/RequestMappingExtensionsTests.cs
2377ad19bd994cfbbe379c30afcbd129e43bb62a	Yalla.Application.DTO.Request	StartOrderAssemblyRequest	Application/DTO/Request/StartOrderAssemblyRequest.cs
26762b4e3cd9355a7a83549553e130f75daf0b69	Yalla.Application.UnitTests.Services	PharmacyWorkerServiceRequestDrivenTests	tests/Yalla.Application.UnitTests/Services/PharmacyWorkerServiceRequestDrivenTests.cs
317603258845cbc2b4ba33c4c50717492a075f70	Yalla.Application.Services	PharmacyWorkerService	Application/Services/PharmacyWorkerService.cs
349ffd534af947c8a5c9f8db288c9e345f5e57c7	Yalla.Application.Abstractions	IAppDbContext	Application/Abstractions/IAppDbContext.cs
378dea4bdd7b2f71e325494f1807649efe6fcb29	Yalla.Application.Services	ClientService	Application/Services/ClientService.cs
3b44c9c5baf3d62c48b0c6a734b6ff0de3afb29b	Yalla.Infrastructure.Configurations	OrderConfiguration	Infrastructure/Configurations/OrderConfiguration.cs
3fd0221768270a44f4dea045e4d5c4ee58870371	Yalla.Application.Extensions		
445be37928c802be7e80ef9ae468a1328f7b4e68	Yalla.Infrastructure	AppDbContext	Infrastructure/AppDbContext.cs
4b0137fe8952db61dc60b1f95c49f8b2a30d1d77	Yalla.Application.UnitTests.Services	PharmacyWorkerServiceTests	tests/Yalla.Application.UnitTests/Services/PharmacyWorkerServiceTests.cs
4b8ac6d206a6c91af6ac7f3a25a6e27b45baaca6	Yalla.Domain.Entities	OrderPosition	Domain/Entities/OrderPosition.cs
4f838cd0a516d4b6c55c7b1693f7ebd527fcc608	Yalla.Domain.Entities	Client	Domain/Entities/Client.cs
5034b7dd36c4bbb9b93fdfa6659159461eb3d4ca	Yalla.Domain.Entities	Order	Domain/Entities/Order.cs
55dfe6d87d716d1251300896a07316d1c3ce2b18	Yalla.Application.Services	IMedicineService	Application/Services/IMedicineService.cs
5a820ddebdc751652598c3cfc91c4c80ebfd5ad4	Yalla.Application.DTO.Request	MarkOrderReadyRequest	Application/DTO/Request/MarkOrderReadyRequest.cs
6553ad408905f706c47d665824f0bbfee3f3abe9	Yalla.Domain.Entities	User	Domain/Entities/User.cs
68d94770eccad17e3694752613efd3e1418c58cd	Yalla.Application.Extensions		
